STOP_NAME,STOP_ID,LATITUDE,LONGITUDE,SHARED_ROUTES,SHELTERED,SIDEWALK
Renaissance Pkwy at Leonardo Dr (EB),1029,35.9013089,-78.956555,"14, 800, 800S",0,NA
Renaissance Pkwy at The Lodge Apts (EB),1030,35.902772,-78.952381,"14, 800, 800S",1,NA
Old Chapel Hill Rd at Garrett Rd (EB),1072,35.949715,-78.967443,"10, 10A, 400",0,1
University Dr at American Red Cross,1074,35.952773,-78.966079,"10, 10A, 400",0,1
University Dr at Ivy Creek Blvd,1075,35.9592534,-78.964615,"10, 10A, 20, 400",1,1
Erwin Rd at Fulton St (VA Hospital),1105,36.0083266,-78.937789,"6B, 400, 405, BCC, D H5",1,1
NC 54 at Blanchard Rd (EB),1160,35.902637,-78.906531,"14, 800, 805",0,NA
NC 54 at Residence Inn Blvd (EB),1161,35.9025753,-78.898189,"14, 800, 805, RTP OD",0,NA
NC 54 at Blanchard Rd (WB),1171,35.9027996,-78.906619,"14, 800, 805",0,NA
NC 54 at Fayetteville Rd (Duke Health),1175,35.910427,-78.933087,"14, 800, 805",1,1
Woodcroft Pkwy at Fayetteville Rd (WB),1182,35.9239254,-78.928006,"14, 805",1,1
Woodcroft Pkwy at Highgate Dr (WB),1203,35.922145,-78.935741,"14, 805",0,NA
Hope Valley Rd at Garrett Rd (SB),1207,35.921278,-78.958634,"14, 805",0,NA
Erwin Rd at Towerview Rd,1553,36.0037987,-78.950504,"6, 6B, 400, 405",0,NA
Woodcroft Pkwy at Weathersfield Dr (WB),1778,35.923262,-78.940549,"14, 805",0,NA
NC 54 at Revere Rd (EB),1781,35.90325,-78.909932,"14, 800, 805",0,NA
Renaissance Pkwy at Leonardo Dr (WB),1804,35.90158,-78.95663,"5, 14, 800, 800S",0,NA
NC 54 at Amhurst St (EB),1805,35.9071385,-78.922734,"14, 800, 805",0,NA
NC 54 at S Alston Ave (WB),1871,35.900791,-78.889875,"12, 12B, 14, 800, 805, RTP OD",0,NA
NC 54 at NC 55 (WB),1872,35.9024948,-78.894874,"12, 12B, 14, 800, 805, RTP OD",0,NA
Fayetteville Rd at Renaissance Pkwy,1892,35.902031,-78.939739,"14, 800",0,NA
NC 54 at The Hamptons Apts (EB),1893,35.902653,-78.903462,"14, 800, 805",0,NA
McFarland Dr at Witherspoon Blvd,1901,35.9506329,-78.989975,"10, 10A, 400",0,1
University Dr at University Pl (EB),1914,35.9564897,-78.965978,"10, 10A, 400",0,1
UNC Morehead Planetarium,1928,35.914188,-79.051263,RSX,-,NA
Woodcroft Pkwy at Homeplace II,1938,35.922665,-78.931442,"14, 805",-,NA
Riddle Rd at Ancroft Ave,5002,35.95263,-78.89703,"12, 12B",0,NA
Cornwallis Rd at Industry Ln,5005,35.94235,-78.8996,"12, 12B",0,NA
Alston Ave at Durham Freeway (NB),5006,35.9799484,-78.891431,"12, 12B",0,NA
S Alston Ave at Massey Ave (NB),5008,35.978159,-78.892187,"12, 12B",0,NA
Chapel Hill Rd at McGehee St (NB),5017,35.981294,-78.934076,"10, 10A, 10B",0,NA
Morehead Ave at Vickers Ave (WB),5018,35.991663,-78.911791,"10, 10A, 10B",0,1
Club Blvd at Chandler's Garage,5019,36.0253973,-78.872557,"9, 9A, 9B",0,NA
