STORE_NAME,ADDRESS,LATITUDE,LONGITUDE
Triangle Mini Mart,4003 Fayetteville St,35.949211,-78.903282
Morehead Mini Mart,1601 Morehead Ave,35.99189,-78.921532
Food Lion #939,4621 Hillsborough Rd,36.032082,-78.97963
Durham Food World,401 E Lakewood Ave # A,35.987774,-78.899963
Food Lion #747,3500 N Roxboro St,36.037621,-78.892548
Walmart Supercenter #1614,1525 Glenn School Rd,36.02831257,-78.84345849
Mi Barrio Grocery,2405 Guess Rd,36.026218,-78.922592
Fay Street Grocery & Grill,1302 Fay St,35.99883,-78.880441
Sunshine Mart,2014 Guess Rd,36.02301,-78.917839
Parkview Mini Mart,433 E Pilot St,35.964088,-78.907593
Leone International Foods,810 Fayetteville St # 108,35.98531,-78.89904
Sprouts Farmers Market,105 W NC 54 Hwy,35.91002276,-78.93842678
New York Mini Mart,2929 Angier Ave,35.972988,-78.866417
Fresh Market,4215 University Dr # A3,35.962769,-78.95871
Joy Speed Mart,1624 Glenn School Rd,36.03125,-78.84041
Around The World Market,1708 E NC Highway 54,35.901958,-78.902428
Al-Taiba Market,1008 W Chapel Hill St,35.99713,-78.91571
Food Lion #2646,"2121 TW Alexander Dr # 107, Morrisville, NC 27560",35.92025,-78.810379
King's Red & White Supermarket,305 E Club Blvd,36.019871,-78.889549
One Hop Food Mart,2021 Guess Rd,36.022877,-78.918465
Whole Foods Market,621 Broad St,36.006992,-78.920631
Tortilleria Miguelena,4739 NC Highway 55,35.900902,-78.895836
Aldi,7906 NC Highway 751,35.900043,-78.960838
Harris Teeter #120,"116 W Barbee Chapel Rd, Chapel Hill, NC 27517",35.906368,-79.010422
Target,4037 Durham Chapel Hill Blvd,35.966274,-78.959015
Harris Teeter #172,1817 Martin Luther King Pkwy,35.959801,-78.959358
Halgo European Deli & Grocery,4520 S Alston Ave,35.90189,-78.889214
Harris Teeter #497,1802 North Pointe Dr,36.02923872,-78.92135065
Geer St. Mini Mart,201 E Geer St,36.003521,-78.892799
Compare Foods,2000 Avondale Dr,36.01510506,-78.88813431
