CENTER_NAME,LATITUDE,LONGITUDE
Faith Assembly Christian Center,35.96372262,-78.90907645
Emmanuel Praise & Worship Center,35.96506003,-78.90563251
W. Deen Mohammed Islamic Center,35.98089743,-78.89988185
New Destiny Christian,35.98058488,-78.89584781
Rebuild Fellowship,35.9822518,-78.8969207
Russell Memorial CME Church,35.98051543,-78.89112712
Word of Life Worship Center,35.98502991,-78.89992477
"Durham, Revival Worship Centre",35.98867604,-78.89404537
Greater Bethlehem Temple Apostolic Faith Church,35.98648838,-78.88859512
United Nations Worship Center,35.9872697,-78.92869951
Kingdom Builders Christian Center,35.98060224,-78.95530702
Ar-Razzaq Islamic Center,35.99824199,-78.91556741
Ecclesia House of Prayer,35.99148865,-78.88612749
Ekklesia Community Development Center,35.99628028,-78.88934614
Nehemiah Christian Center,35.99967165,-78.89712309
Rivers of Water Christian Center,35.99510398,-78.87569368
Lincoln Memorial Baptist Church,35.98017173,-78.90564859
St. Titus' Episcopal Church,35.9780533,-78.90238703
Centennial Chapel and Garden,35.97510129,-78.90105665
Mount Vernon Baptist Church,35.98402644,-78.90238703
Gethsemane Baptist Church,35.98565856,-78.90303076
Mt. Zion Holy Church,35.97989391,-78.89633596
First Chronicles Community Church,35.98114411,-78.89569223
Fisher Memorial United Holy Church of America,35.98482514,-78.89946878
Covenant Presbyterian Church,35.96798127,-78.91075552
Faucette Memorial CME,35.96881487,-78.91637743
Faith Tabernacle Church of Durham,35.96429945,-78.92006815
Jamaat Ibad Ar Rahman,35.96316188,-78.90854538
Southside Church of Christ,35.96276242,-78.90086353
Gateway To Heaven United Holy Church,35.96672218,-78.9026016
Greater Bethlehem Temple Apostolic Faith Church,35.98612735,-78.88841808
God First People Second Church,35.98894006,-78.88919056
The Church of the Apostolic Revival International,35.98696076,-78.88764561
United Assembly for Christ,35.98991233,-78.89537037
Monroe Christian Church,35.96442103,-78.88820351
Church of the Abiding Savior,35.96960504,-78.89277399
White Rock Baptist Church,35.95767348,-78.91066969
Faith Congregation United,35.96300557,-78.92506778
New Life Chapel,35.96449918,-78.92133415
Bell Yeager Freewill Baptist Church,35.96432551,-78.91772926
Agape & Power Deliverance Ministry,35.96514177,-78.91931713
St. Mark African Methodist Episcopal Zion Church,35.98847091,-78.90130985
Immanuel Temple Seventh Day,35.97987617,-78.89540899
Kyles Temple AME Zion Church,35.97911395,-78.90102156
Restoration of Faith Church,35.9714386,-78.91084917
St. Joseph's AME Church,35.96861659,-78.90239485
A Place of Hope Community Wesleyan Church,36.00474759,-78.8845927
Aldersgate United Methodist Church,36.08450584,-78.93997792
Asbury United Methodist Church,36.01100048,-78.91805162
Berea Baptist Church,35.93122487,-78.91807425
Bethany United Methodist Church,36.03148024,-78.928914
Bethel Christian Center,36.04623483,-78.95784384
Bethesda Baptist Church,35.94386521,-78.83874035
World Mission Society Church of God,35.93676409,-78.84127324
Blacknall Memorial Church,36.00846089,-78.92126917
Braggtown Baptist Church,36.03344838,-78.89018134
Calvary Baptist Church,35.97065728,-78.84946665
Elizabeth Street UMC,36.00552795,-78.89123298
Cameron Grove Baptist Church,36.03371352,-78.88018981
Christ the King Moravian Church,35.92947678,-78.95196943
Christian Assembly Church,36.09250662,-78.91014402
Christus Victor Lutheran,35.90405872,-78.90445238
Cole Mill Road Church of Christ,36.03940259,-78.95710078
The Church of Jesus Christ of Latter-day Saints,36.03850033,-78.95890323
Church of God of Prophecy,36.03891308,-78.880172
Church of the Abiding Savior,35.97032921,-78.89267077
Church of the Good Shepherd,35.97132167,-78.97593549
Church Of The Lord Jesus,35.98655969,-78.88668376
Community Baptist Church,35.93503203,-78.90775737
Cornerstone Bible Church,36.09988517,-78.93219509
Cornerstone Community,36.03346967,-78.97726211
Covenant Presbyterian Church,35.96819467,-78.91097548
Cresset Baptist Church,35.97311698,-78.97364395
Dayspring Fellowship Church,36.01409258,-78.92156187
Duke Memorial United Methodist Church,35.99815358,-78.90919692
Duke's Chapel UMC,36.04315832,-78.88094429
First Baptist Church Durham,35.99741681,-78.89709822
Durham Memorial Baptist Church,35.975614,-78.80401297
Durham Mennonite Church,35.98004238,-78.84088296
Durham Spanish SDA Church,35.99229656,-78.87470908
Ebenezer Missionary Baptist Church,35.95978821,-78.88689095
Edgewood Baptist Church,36.08485984,-78.87123541
Emmanuel AME Church,35.95626848,-78.88573785
Epworth United Methodist Church,35.97029191,-78.93383555
Evangel Assembly of God,35.97390209,-78.84782217
Faith Alliance Church,36.083839,-78.93852298
Faith Assembly Christian Center,35.96393902,-78.90933797
Faith Baptist Church,36.01484494,-78.82431359
Faith Fellowship Church,36.01504613,-78.91109223
First Assembly Of God,36.05080419,-78.87081703
First Calvary Baptist Church,35.99234379,-78.91952622
First Chronicles Community Church,35.98075511,-78.89601537
First Free Will Baptist Church,35.98976684,-78.83949808
First Presbyterian Church,35.99417632,-78.89822125
Fletcher's Chapel United Methodist Church,36.01272452,-78.80291357
Glendale Heights United Methodist Church,36.0261884,-78.90755936
Good Shepherd Church Of God,35.98632962,-78.8815934
Gorman Baptist Church,36.04491914,-78.81517525
Grace Baptist Church,36.00594564,-78.89367043
Grace Evangelical Lutheran Church,36.01186003,-78.91198063
Greater Refuge Church,36.03432046,-78.86577592
Grey Stone Baptist Church,36.01109692,-78.92920422
Guess Road Baptist Church,36.03533082,-78.92915272
Hanmaum Church,35.9071346,-78.90385152
Holy Infant Catholic Church,35.91407755,-78.94456878
Immaculate Conception Catholic Church,35.99791875,-78.91414545
Immanuel Baptist Church,36.06102724,-78.94275376
Immanuel Free Will Baptist Church,35.94071081,-78.86278858
Journey Fellowship of Durham,36.00138161,-78.96828581
Korean Presbyterian Church,36.09565694,-78.91202879
Lakeview Missionary Baptist Church,36.03861619,-78.87736712
Oak Church,35.98676692,-78.92880358
Layman's Chapel Baptist Church,36.05939633,-78.89995454
Leesville Road Baptist Church,35.93838418,-78.78027947
Liberty Baptist Church,36.06413659,-78.92664668
Lowe's Grove Baptist Church,35.90463385,-78.88911034
Markham Chapel Baptist Church,35.95749385,-78.9540657
McMannen United Methodist Church,36.02808654,-78.96239091
Millgrove Church Of God In Christ,36.05787946,-78.89867556
Morehead Avenue Baptist Church,35.99254255,-78.91657022
Morning Star Missionary Baptist Church,35.93849436,-78.90828512
Mount Hermon Baptist Church,36.03144797,-79.02055604
Mt. Olive Missionary Baptist Church,36.03839753,-78.8816154
Mt. Olive Holy Church,36.00254301,-78.88487425
Mount Zoar Missionary Baptist Church,36.0052838,-78.8518247
Mt. Bethel Presbyterian Church,36.04244877,-78.95662851
Mt. Gilead Baptist Church,36.00107749,-78.89201675
Mt. Level Missionary Baptist Church,36.0596236,-78.8955597
Mt. Moriah Baptist Church,35.97284171,-79.00917654
Mt. Sylvan United Methodist Church,36.09974292,-78.91102483
New Bethel Missionary Baptist Church,36.01394468,-78.9381618
New Covenant Holiness Church,36.03437373,-78.86875549
New Jerusalem Baptist Cathedral,36.03746346,-78.88807573
New Jerusalem Free Will Church,35.98141866,-78.84394151
New Shiloh Holiness Church,35.95224004,-78.88164639
North Durham Baptist Church,36.11152489,-78.9285223
Northside Christian Church,36.05436615,-78.97382811
Oak Grove Free Will Baptist,35.98197327,-78.89308612
Olive Branch Baptist Church,35.97493713,-78.78474591
Our Savior Lutheran Church,36.02511576,-78.90596936
Parkwood Baptist Church,35.89427436,-78.90720044
Parkwood United Methodist Church,35.89524159,-78.90973435
Pilgrim Baptist Church,35.96829927,-78.91658959
Plainview Baptist Church,36.02613546,-78.78373711
Progressive Holiness Church,35.99500138,-78.87993676
New Creation United Methodist Church,35.94203341,-78.97768858
Ridgecrest Baptist Church,36.10279768,-78.91396113
Riverside Baptist Church,36.07783366,-78.93208793
