SCHOOL_NAME,LATITUDE,LONGITUDE,ENROLLMENT,ENROLLMENT_NA,STUDENT_TEACHER_ELEM,STUDENT_TEACHER_HS,EXP_TEACHER_RATIO,AVG_CLASS_SIZE,FREE_RED_LUNCH,FREE_RED_PERCENT,IN_SCHOOL_SUSP_PER_1000,STUDENTS_PER_DEVICE,FUNDING_PER_PUPIL,ARTS_PROGRAMS,DISABLED_STUDENTS,DISABLED_PERCENT,ESL_STUDENTS,ESL_PERCENT,CTE_RATE,GRADUATION_RATE,EDUC_POST_GRAD,STUDENTS_ADV_COURSES,ADV_COURSES_PERCENT,MED_HOUSEHOLD_INC,MED_HOMESALE_PRICE,MED_HOMESALE_THOU,COST_BURDENED_MORTG,RENTER_OCCUP_HOUSING,MED_AGE,BACHELOR_DEG_RATE,SIDEWALK_COVG,DIVERSITY_ZONE,ASIAN_RATE_SCHOOL,ASIAN_RATE_DISTRICT,BLACK_RATE_SCHOOL,BLACK_RATE_DISTRICT,HISP_LAT_RATE_SCHOOL,HISP_LAT_RATE_DISTRICT,INDIG_RATE_SCHOOL,INDIG_RATE_DISTRICT,POC_RATE_SCHOOL,POC_RATE_DISTRICT,WHITE_RATE_SCHOOL,WHITE_RATE_DISTRICT,TITLES_PER_STUDENT,WIFI_ACCESS_PTS
C.C. Spaulding Elementary,35.97819974,-78.9061455,296,296,11.6,NA,77,15.5,293,99,219.23,0.63,15376,"""Music"", ""Visual Arts""",27,9.1,31,10.5,NA,NA,NA,NA,NA,53163,280292,28.03,0.3,0.65,35,41.1,58,41,0.01,0.053,0.764,0.494,0.176,0.085,0,0.006,0.983,0.675,0.017,0.347,36,1.5
Eastway Elementary,35.99090255,-78.88518919,529,529,12.94,NA,68,17.7,521,98.5,47.81,0.81,14075,"""Music"", ""Visual Arts""",43,8.1,169,31.9,NA,NA,NA,NA,NA,44063,258964,25.9,0.32,0.76,33,35,48,54,0.006,0.024,0.431,0.386,0.526,0.318,0.002,0.022,0.981,0.795,0.019,0.24,12.09,0.98
E.K. Powe Elementary,36.01290459,-78.92254165,494,494,14.12,NA,80,18,202,40.9,18.26,0.73,12784,"""Music"", ""Theater Arts"", ""Visual Arts""",68,13.8,81,16.4,NA,NA,NA,NA,NA,57751,356727,35.67,0.2,0.67,28.6,49.1,63,57,0.008,0.084,0.302,0.206,0.247,0.127,0,0.004,0.624,0.457,0.377,0.547,21.49,1.11
Fayetteville Street Elementary,35.96464038,-78.90593379,271,271,12.95,NA,82,19,268,98.9,53.06,0.91,14250,"""Music"", ""Visual Arts""",26,9.6,71,26.2,NA,NA,NA,NA,NA,33794,127500,12.75,0.37,0.68,35,21.8,37,28,0,0,0.554,0.701,0.384,0.164,0,0.077,0.967,0.98,0.033,0.029,25.76,1.23
Forest View Elementary,35.98923713,-78.99231804,766,766,13.09,NA,85,18.2,392,51.2,24.93,0.96,11884,"""Music"", ""Theater Arts"", ""Visual Arts""",77,10.1,253,33,NA,NA,NA,NA,NA,53122,481625,48.16,0.17,0.67,32.9,53.1,23,47,0.057,0.169,0.17,0.148,0.394,0.101,0,0.014,0.693,0.459,0.307,0.537,19.6,0.95
Lakewood Elementary,35.98288307,-78.93534584,405,405,11.08,NA,86,19,402,99.3,73.79,0.85,14390,"""Music"", ""Visual Arts""",21,5.2,170,42,NA,NA,NA,NA,NA,44206,379000,37.9,0.26,0.54,34.8,36.9,22,64,0.03,0.016,0.348,0.181,0.496,0.192,0.005,0.005,0.911,0.496,0.089,0.534,27.71,0.94
Parkwood Elementary,35.89169037,-78.90662906,537,537,14.04,NA,76,19.3,327,60.9,40.29,0.61,12102,"""Music"", ""Visual Arts""",75,14,92,17.1,NA,NA,NA,NA,NA,67873,250821,25.08,0.17,0.51,35.9,58.1,32,63,0.011,0.071,0.553,0.39,0.209,0.086,0.004,0.005,0.849,0.603,0.151,0.431,22.3,1.05
Southwest Elementary,35.92889671,-78.92358779,650,650,14.05,NA,87,20.7,344,52.9,1.57,0.67,11837,"""Music"", ""Visual Arts""",65,10,96,14.8,NA,NA,NA,NA,NA,79055,255438,25.54,0.21,0.36,37.4,75.5,35,49,0.035,0.073,0.46,0.364,0.237,0.091,0.002,0.003,0.788,0.562,0.212,0.441,25.83,0.85
Durham County,NA,NA,31577,NA,20.5,24,79,NA,NA,51.65,93.69,0.8,11672,NA,4186,13.3,5002,15.8,53,83.5,NA,2911,9.22,58190,278000,27.8,0.23,0.52,35.2,44.1,35,51,NA,0.021,NA,0.41,NA,0.332,NA,0.002,0.807,NA,NA,0.19,17.16,1.06
Club Boulevard Elementary,36.01893756,-78.89716392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.82,0.89
Hillandale Elementary,36.05236068,-78.93291587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.94,1
