varname,All School,Brogden Middle,C.C. Spaulding Elementary,Club Boulevard Elementary,E.K. Powe Elementary,Eastway Elementary,Fayetteville Street Elementary,Forest View Elementary,Hillandale Elementary,Hillside High,Jordan High,Lakewood Elementary,Lakewood Montessori Middle,Lowes Grove Middle,Parkwood Elementary,Riverside High,Southwest Elementary,Eno Valley Elementary,Glenn Elementary,Creekside Elementary,Easley Elementary,Burton Elementary,Bethesda Elementary,George Watts Elementary,Holt Elementary,Hope Valley Elementary,Little River K-8,Morehead Montessori Elementary,Merrick-Moore Elementary,Oak Grove Elementary,Pearsontown Elementary,W.G. Pearson Elementary,Sandy Ridge Elementary,R.N. Harris Elementary,Y.E. Smith Elementary,Sherwood Githens Middle,Lucas Middle,Carrington Middle,Neal Middle,Rogers-Herr Middle,Durham School of Arts,School for Creative Studies,Shepard Middle,JD Clement High,Durham School of Technology,Middle College High,Holton Career and Resource Center,Northern High,Southern School of Energy and Sustainability,Lakeview High,Mangum Elementary ,Spring Valley Elementary
After-School Care Programs,49,14,4,0,5,1,2,0,0,4,9,2,24,8,1,10,1,3,1,2,1,1,3,1,3,2,1,1,1,1,3,1,2,1,1,10,2,6,6,2,49,49,1,0,0,49,49,7,4,0,1,1
Bus Stops,1046,402,87,0,117,51,34,55,48,251,222,41,214,35,13,58,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,59,110,98,0,1046,1046,0,0,0,1046,1046,0,0,0,0,0
Childcare Centers,54,16,2,0,4,2,2,2,3,11,17,2,42,9,2,15,2,0,2,0,1,1,2,0,3,3,1,0,0,0,6,0,0,0,0,11,0,0,3,8,54,54,0,0,0,54,54,2,0,0,0,1
Community & Cultural Centers,17,12,2,0,1,1,3,1,0,1,9,3,10,1,2,5,2,0,1,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,3,0,0,0,2,17,17,0,0,0,17,17,0,0,0,0,0
Community Arts,63,38,5,0,16,1,4,4,5,2,21,3,6,2,0,33,1,1,11,4,4,0,1,6,15,3,1,2,0,0,36,3,0,0,0,15,1,3,0,35,63,63,0,0,2,63,63,4,0,0,0,0
Community Gardens,9,9,1,0,0,1,0,0,0,1,2,6,0,1,0,2,0,6,1,0,0,0,1,0,5,0,0,1,0,1,4,0,0,0,0,0,0,2,0,4,9,9,0,0,2,9,9,4,0,0,0,0
Community Sports,23,23,1,0,1,0,1,0,2,5,7,1,1,4,1,7,0,0,2,1,4,0,3,0,6,2,0,1,1,1,12,1,0,0,0,5,0,3,4,12,23,23,0,0,0,23,23,0,0,0,0,1
Farmer's Markets,5,2,0,0,0,1,1,0,1,3,0,0,0,3,2,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,5,0,0,0,5,5,1,0,0,0,0
Food Pantries,56,19,6,0,2,6,5,1,2,11,10,3,50,8,0,11,0,0,0,0,2,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,1,2,1,1,56,56,0,0,0,56,56,4,0,0,1,0
Grocery Stores,50,17,4,0,8,2,3,4,2,8,14,4,50,7,3,14,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,50,50,0,0,0,0,0
Hospitals and Clinics,19,9,0,0,4,0,1,4,1,1,3,0,16,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,19,0,0,0,19,19,0,0,0,0,0
Libraries,8,1,0,0,0,1,2,1,0,2,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,3,1,1,1,1,8,8,1,0,0,8,8,2,1,0,0,0
Parks,23,11,3,0,2,2,0,1,0,3,6,2,0,1,1,4,0,2,2,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,5,2,1,0,23,23,0,0,0,23,23,8,1,0,2,0
Recreation Centers,13,9,5,2,2,1,0,0,0,3,4,0,0,2,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,13,13,0,0,0,13,13,1,1,0,0,0
Religious Centers,47,47,22,0,2,3,7,0,0,17,17,1,0,9,1,6,3,0,1,0,1,0,5,0,0,1,0,0,0,0,0,7,0,0,3,0,2,1,3,0,47,47,0,0,0,47,47,4,3,0,0,0
Pharmacies,35,12,2,1,3,0,2,2,3,3,9,0,0,3,2,17,0,0,1,2,7,0,1,0,7,3,0,0,0,1,12,2,1,0,1,8,0,9,2,11,35,35,0,0,2,35,35,3,2,0,0,0
Homeless Shelters,11,5,0,0,0,4,0,1,0,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,2,1,0,2,2,3,11,11,0,0,0,11,11,1,2,0,0,0
