name,PROGRAM_NAME,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Invention At Durham School of the Arts,Camp Invention At Durham School of the Arts,400 North Duke Street,36.003,-78.90674,https://www.summercamps.com/camp/camp-invention-at-durham-school-of-the-arts-durham-north-carolina/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Invention At Sandy Ridge Elementary School,Camp Invention At Sandy Ridge Elementary School,1417 Old Oxford Rd,36.05786,-78.87032,https://www.summercamps.com/camp/camp-invention-at-sandy-ridge-visual-performing-arts-elementary-school-durham-north-carolina/,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Joy International Ministries,City of Joy International Ministries,2341 S. Miami Blvd. Ste. 251,35.93664,-78.8412,https://www.cityofjoyintl.org/,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Centro Hispano's Tutoring Program,El Centro Hispano's Tutoring Program,2000 Chapel Hill Road Suite 26A,35.98927,-78.92785,https://elcentronc.org/education/,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement of Youth,Movement of Youth,406 Blackwell St b030,35.99248,-78.90512,https://sites.google.com/site/uncblackstudentmovement/committees-1/movement-of-youth-inc,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCSSM Summer Accelerator,NCSSM Summer Accelerator,1219 Broad St.,36.0182,-78.92154,https://www.ncssm.edu/summer-programs/accelerator,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Life 21st CCLC,New Life 21st CCLC,7415 Fayetteville Rd,35.89348,-78.94156,http://www.newlife21stcclc.org/about/,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Grove Missionary Baptist Church 21st CCLC STEAM Ahead Academy,Orange Grove Missionary Baptist Church 21st CCLC STEAM Ahead Academy,505 East End Avenue,35.97441,-78.8665,https://www.ogmbc.org/,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piedmont Wildlife Center Wild For a Day,Piedmont Wildlife Center Wild For a Day,364 Leigh Farm Rd,35.92208,-78.98283,https://www.piedmontwildlifecenter.org/durham-county-wild-for-a-day,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaching All Minds (RAM) Organization,Reaching All Minds (RAM) Organization,2703 Holloway Street,35.98931,-78.85148,http://www.reachingallminds.com/,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teen Cosmos Collective,Teen Cosmos Collective,433 West Murray Ave,36.02944,-78.89929,https://universe-of-learning.org/contents/products/informal-network-program-models/the-teen-cosmos-collective-north-carolina-museum-of-life-and-science,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club,Boys and Girls Club,1010 Martin Luther King Jr. Parkway,35.95109,-78.92513,https://bgcdoc.org/,"All,Jordan High,Lakewood Middle,Southwest Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Durham YMCA,Downtown Durham YMCA,218 W. Morgan St.,35.99874,-78.90106,https://www.ymcatriangle.org/locations/downtown-durham-ymca,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
