,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,STOP_NAME,STOP_ID,LATITUDE,LONGITUDE,SHARED_ROUTES,SHELTERED,SIDEWALK,school_zones
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Renaissance Pkwy at Leonardo Dr (EB),1029,35.9013089,-78.956555,"14, 800, 800S",0,,"All,Jordan High,Lakewood Middle"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Renaissance Pkwy at The Lodge Apts (EB),1030,35.902772,-78.952381,"14, 800, 800S",1,,"All,Jordan High,Lakewood Middle"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Old Chapel Hill Rd at Garrett Rd (EB),1072,35.949715,-78.967443,"10, 10A, 400",0,1.0,"All,Forest View Elementary,Jordan High,Lakewood Middle"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,University Dr at American Red Cross,1074,35.952773,-78.966079,"10, 10A, 400",0,1.0,"All,Forest View Elementary,Jordan High,Lakewood Middle"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,University Dr at Ivy Creek Blvd,1075,35.9592534,-78.964615,"10, 10A, 20, 400",1,1.0,"All,Jordan High,Lakewood Middle"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Erwin Rd at Fulton St (VA Hospital),1105,36.0083266,-78.937789,"6B, 400, 405, BCC, D H5",1,1.0,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NC 54 at Blanchard Rd (EB),1160,35.902637,-78.906531,"14, 800, 805",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary"
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NC 54 at Residence Inn Blvd (EB),1161,35.9025753,-78.898189,"14, 800, 805, RTP OD",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary"
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NC 54 at Blanchard Rd (WB),1171,35.9027996,-78.906619,"14, 800, 805",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary"
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NC 54 at Fayetteville Rd (Duke Health),1175,35.910427,-78.933087,"14, 800, 805",1,1.0,"All,Hillside High,Lakewood Middle"
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Woodcroft Pkwy at Fayetteville Rd (WB),1182,35.9239254,-78.928006,"14, 805",1,1.0,"All,Jordan High,Lakewood Middle,Southwest Elementary"
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,Woodcroft Pkwy at Highgate Dr (WB),1203,35.922145,-78.935741,"14, 805",0,,"All,Jordan High,Lakewood Middle,Southwest Elementary"
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,Hope Valley Rd at Garrett Rd (SB),1207,35.921278,-78.958634,"14, 805",0,,"All,Jordan High,Lakewood Middle,Southwest Elementary"
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Erwin Rd at Towerview Rd,1553,36.0037987,-78.950504,"6, 6B, 400, 405",0,,"All,Brogden Middle,Forest View Elementary,Lakewood Middle,Riverside High"
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Woodcroft Pkwy at Weathersfield Dr (WB),1778,35.923262,-78.940549,"14, 805",0,,"All,Jordan High,Lakewood Middle,Southwest Elementary"
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,NC 54 at Revere Rd (EB),1781,35.90325,-78.909932,"14, 800, 805",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary"
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Renaissance Pkwy at Leonardo Dr (WB),1804,35.90158,-78.95663,"5, 14, 800, 800S",0,,"All,Jordan High,Lakewood Middle"
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,NC 54 at Amhurst St (EB),1805,35.9071385,-78.922734,"14, 800, 805",0,,"All,Jordan High,Lakewood Middle"
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,NC 54 at S Alston Ave (WB),1871,35.900791,-78.889875,"12, 12B, 14, 800, 805, RTP OD",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NC 54 at NC 55 (WB),1872,35.9024948,-78.894874,"12, 12B, 14, 800, 805, RTP OD",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Fayetteville Rd at Renaissance Pkwy,1892,35.902031,-78.939739,"14, 800",0,,"All,Jordan High,Lakewood Middle"
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,NC 54 at The Hamptons Apts (EB),1893,35.902653,-78.903462,"14, 800, 805",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary"
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,McFarland Dr at Witherspoon Blvd,1901,35.9506329,-78.989975,"10, 10A, 400",0,1.0,"All,Jordan High,Lakewood Middle"
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,University Dr at University Pl (EB),1914,35.9564897,-78.965978,"10, 10A, 400",0,1.0,"All,Forest View Elementary,Jordan High,Lakewood Middle"
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,UNC Morehead Planetarium,1928,35.914188,-79.051263,RSX,-,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Woodcroft Pkwy at Homeplace II,1938,35.922665,-78.931442,"14, 805",-,,"All,Jordan High,Lakewood Middle,Southwest Elementary"
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,Riddle Rd at Ancroft Ave,5002,35.95263,-78.89703,"12, 12B",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,Cornwallis Rd at Industry Ln,5005,35.94235,-78.8996,"12, 12B",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary"
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,Alston Ave at Durham Freeway (NB),5006,35.9799484,-78.891431,"12, 12B",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,S Alston Ave at Massey Ave (NB),5008,35.978159,-78.892187,"12, 12B",0,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
