CENTER_NAME,name,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids R Kids RTP,Kids R Kids RTP,35.9241828,-78.8425073,https://kidsrkids.com/rtp/,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childcare Network #166,Childcare Network #166,35.921341,-78.934498,https://childcarecenter.us/provider_detail/childcare_network_166_durham_nc,"All,Jordan High,Lakewood Middle,Southwest Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childcare Network #57,Childcare Network #57,36.0225058,-78.9076229,https://childcarecenter.us/provider_detail/childcare_network_57_durham_nc,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childcare Network Rippling Stream,Childcare Network Rippling Stream,36.0711937,-78.90708923,https://schools.childcarenetwork.com/nc/durham/115-rippling-stream-road,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Campus at Southpoint,Children's Campus at Southpoint,35.895186,-78.94166,https://childrenscampus.com/locations/southpoint/,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Memorial Child Development Center,Russell Memorial Child Development Center,35.9798433,-78.8909168,http://www.russellmemorialchild.com,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Goddard School,The Goddard School,35.9288795,-78.9207343,https://www.goddardschool.com/schools/nc/durham/durham,"All,Jordan High,Lakewood Middle,Southwest Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Love Christian Daycare Center,Abundant Love Christian Daycare Center,35.88234,-78.850112,https://abundantlovechristiandaycare.org,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Horizons at Independence,Bright Horizons at Independence,36.04816437,-78.89787292,https://child-care-preschool.brighthorizons.com/nc/durham/northdurham/our-center,"All,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly Kisses Academy,Butterfly Kisses Academy,36.0449806,-78.9299247,http://www.butterflykissesacademy.com,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cresset Christian Academy Pre-School,Cresset Christian Academy Pre-School,35.96718597,-78.97657776,https://www.cressetchristian.org/page/preschool,"All,Forest View Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastway SAC Club,Eastway SAC Club,35.980984,-78.891119,https://childcarecenter.us/provider_detail/eastway_sac_club_durham_nc,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorman Early Education Center,Gorman Early Education Center,36.0441533,-78.8160215,https://www.gormanchristian.org/early-learning-center-information/,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Valley Preschool,Hope Valley Preschool,35.917703,-78.966194,http://hopevalleypreschool.com,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leathers/Meachem Head Start,Leathers/Meachem Head Start,35.9923309,-78.8853062,https://www.durhamprek.org/leathers-meachem-head-start-2/,"All,Brogden Middle,Eastway Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
