,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,CENTER_NAME,name,LATITUDE,LONGITUDE,URL,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,school_zones
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kids R Kids RTP,Kids R Kids RTP,35.9241828,-78.8425073,https://kidsrkids.com/rtp/,,,,,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Childcare Network #166,Childcare Network #166,35.921341,-78.934498,https://childcarecenter.us/provider_detail/childcare_network_166_durham_nc,,,,,,"All,Jordan High,Lakewood Middle,Southwest Elementary"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Childcare Network #57,Childcare Network #57,36.0225058,-78.9076229,https://childcarecenter.us/provider_detail/childcare_network_57_durham_nc,,,,,,"All,Brogden Middle,Lakewood Middle,Riverside High"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Childcare Network Rippling Stream,Childcare Network Rippling Stream,36.0711936950683,-78.9070892333984,https://schools.childcarenetwork.com/nc/durham/115-rippling-stream-road,,,,,,"All,Lakewood Middle"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Children's Campus at Southpoint,Children's Campus at Southpoint,35.895186,-78.94166,https://childrenscampus.com/locations/southpoint/,,,,,,"All,Jordan High,Lakewood Middle"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Russell Memorial Child Development Center,Russell Memorial Child Development Center,35.9798433,-78.8909168,http://www.russellmemorialchild.com,,,,,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,The Goddard School,The Goddard School,35.9288795,-78.9207343,https://www.goddardschool.com/schools/nc/durham/durham,,,,,,"All,Jordan High,Lakewood Middle,Southwest Elementary"
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Abundant Love Christian Daycare Center,Abundant Love Christian Daycare Center,35.88234,-78.850112,https://abundantlovechristiandaycare.org,,,,,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Bright Horizons at Independence ,Bright Horizons at Independence ,36.0481643676757,-78.8978729248046,https://child-care-preschool.brighthorizons.com/nc/durham/northdurham/our-center,,,,,,"All,Lakewood Middle,Riverside High"
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Butterfly Kisses Academy,Butterfly Kisses Academy,36.0449806,-78.9299247,http://www.butterflykissesacademy.com,,,,,,"All,Brogden Middle,Lakewood Middle,Riverside High"
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Cresset Christian Academy Pre-School,Cresset Christian Academy Pre-School,35.967185974121,-78.976577758789,https://www.cressetchristian.org/page/preschool,,,,,,"All,Forest View Elementary,Jordan High,Lakewood Middle"
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,Eastway SAC Club,Eastway SAC Club,35.980984,-78.891119,https://childcarecenter.us/provider_detail/eastway_sac_club_durham_nc,,,,,,"All,Jordan High,Lakewood Middle"
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,Gorman Early Education Center,Gorman Early Education Center,36.0441533,-78.8160215,https://www.gormanchristian.org/early-learning-center-information/,,,,,,"All,Lakewood Middle"
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Hope Valley Preschool,Hope Valley Preschool,35.917703,-78.966194,http://hopevalleypreschool.com,,,,,,"All,Jordan High,Lakewood Middle"
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Leathers/Meachem Head Start,Leathers/Meachem Head Start,35.9923309,-78.8853062,https://www.durhamprek.org/leathers-meachem-head-start-2/,,,,,,"All,Brogden Middle,Eastway Elementary,Lakewood Middle"
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,Little Engine Academy at Bragtown,Little Engine Academy at Bragtown,36.025704,-78.889869,https://littleengineacademy.com,,,,,,"All,Brogden Middle,Lakewood Middle,Riverside High"
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,NCCU Child Development Laboratory,NCCU Child Development Laboratory,35.9694595336914,-78.9020538330078,https://childcarecenter.us/provider_detail/nccu_child_development_laboratory_durham_nc,,,,,,"All,Fayetteville Street Elementary,Hillside High,Lakewood Middle"
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Parkwood SAC Club,Parkwood SAC Club,35.8914633,-78.9062514,https://childcarecenter.us/provider_detail/parkwood_sac_club_durham_nc,,,,,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary"
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Primary Colors Early Learning Center,Primary Colors Early Learning Center,35.9672143,-78.9405407,http://www.primarycolorselc.com,,,,,,"All,Jordan High,Lakewood Middle"
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,Rose of Sharon Day Care Center,Rose of Sharon Day Care Center,36.0659905,-78.9340639,https://www.roseofsharonpreschool.org,,,,,,"All,Hillandale Elementary,Lakewood Middle,Riverside High"
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Spanish Learning Center of Durham,Spanish Learning Center of Durham,35.90038,-78.885148,http://spanishlearningcenterofdurham.squarespace.com,,,,,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,Spring Valley SAC Club,Spring Valley SAC Club,35.9537887573242,-78.8170318603515,https://childcarecenter.us/provider_detail/spring_valley_sac_club_durham_nc,,,,,,"All,Lakewood Middle"
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,Sunshine Smiles Academy,Sunshine Smiles Academy,36.0353834,-78.9100976,https://www.sunshinesmilesacademy.com,,,,,,"All,Brogden Middle,Lakewood Middle,Riverside High"
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,The Little School at Duke,The Little School at Duke,36.0030615,-78.9231727,https://thelittleschool.net/duke/,,,,,,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,Yates Baptist Child Development Center,Yates Baptist Child Development Center,35.9735059,-78.9363527,https://www.yatescdc.org,,,,,,"All,Jordan High,Lakewood Middle"
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Another Beautiful Beginnings Child Care Center,Another Beautiful Beginnings Child Care Center,35.9857344,-78.8865691,https://www.anotherbeautifulbeginnings.com,,,,,,"All,Lakewood Middle"
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,Burton Elementary School,Burton Elementary School,35.9782292,-78.8876955,https://www.dpsnc.net/Burton,,,,,,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,CC Spaulding Elementary Pre-K,CC Spaulding Elementary Pre-K,35.979254,-78.905835,https://durhamprek.org/cc-spaulding-elementary-school/,,,,,,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle"
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,Duke Children's Campus,Duke Children's Campus,36.0012189,-78.9267821,https://childrenscampus.com/home/duke/,,,,,,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,Duke Street KinderCare,Duke Street KinderCare,36.0420781,-78.9055045,https://www.kindercare.com/our-centers/durham/nc/300518,,,,,,"All,Lakewood Middle,Riverside High"
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,Eagle Wings International Academy,Eagle Wings International Academy,35.9827041625976,-78.8264389038086,https://childcarecenter.us/provider_detail/eagle_wings_international_academy_durham_nc,,,,,,"All,Lakewood Middle"
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,Early Start Academy,Early Start Academy,36.0110709,-78.9304525,https://www.earlystartacademy.com,,,,,,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,Eno Valley SAC Club,Eno Valley SAC Club,36.0853886,-78.9130052,https://childcarecenter.us/provider_detail/eno_valley_sac_club_durham_nc,,,,,,"All,Lakewood Middle"
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,Forest View SAC Club,Forest View SAC Club,35.9898071289062,-78.9914245605468,https://childcarecenter.us/provider_detail/forest_view_sac_club_durham_nc,,,,,,"All,Forest View Elementary,Jordan High,Lakewood Middle"
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Hillandale Elementary Pre-K,Hillandale Elementary Pre-K,36.0524508,-78.9333155,https://durhamprek.org/hillandale-elementary-school/,,,,,,"All,Brogden Middle,Hillandale Elementary,Lakewood Middle,Riverside High"
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,Hope Valley SAC Club,Hope Valley SAC Club,35.9674484,-78.9396514,https://childcarecenter.us/provider_detail/hope_valley_sac_club_durham_nc,,,,,,"All,Jordan High,Lakewood Middle"
