CENTER_NAME,name,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys & Girls Clubs of Durham,Boys & Girls Clubs of Durham,"1010 Martin Luther King Jr Pkwy Suite 300, Durham, NC 27713",35.95104711,-78.92511806,http://bgcdoc.org/,"All,Jordan High,Lakewood Middle,Southwest Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Salvation Army Boys & Girls Club of Durham,The Salvation Army Boys & Girls Club of Durham,"810 N Alston Ave, Durham, NC 27701",35.9932885,-78.8854428,https://www.salvationarmycarolinas.org/bgcdurham/,"All,Brogden Middle,Eastway Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Durham YMCA,Downtown Durham YMCA,"218 W Morgan Street, Durham, NC 27701",35.99922182,-78.90110675,https://www.ymcatriangle.org/locations/downtown-durham-ymca,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Valley Farms YMCA,Hope Valley Farms YMCA,"4818 S Roxboro Street, Durham, NC 27713",35.93439016,-78.93806575,https://www.ymcatriangle.org/locations/hope-valley-farms-ymca,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakewood YMCA,Lakewood YMCA,"2119 Chapel Hill Rd, Durham, NC 27707",35.98535425,-78.92824607,https://www.ymcatriangle.org/locations/lakewood-ymca,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayti Haritage Center,Hayti Haritage Center,"804 Old Fayetteville St., Durham, NC 27701",35.98617742,-78.89815841,https://hayti.org/,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGBTQ Center of Durham,LGBTQ Center of Durham,"114 Hunt St., Durham, NC 27701",36.00096902,-78.89824424,https://www.lgbtqcenterofdurham.org/,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwanis,Kiwanis,"1820 James St., Durham, NC 27707",35.9807367,-78.92639816,https://www.facebook.com/DurhamKiwanis/,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Community One Voice One Vision Inc.,One Community One Voice One Vision Inc.,"2512 Drexall Ave, Durham, NC 27704",36.02499675,-78.88027657,https://www.facebook.com/OCOVOV/,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Centro Hispano,El Centro Hispano,"2000 Chapel Hill Rd #26a, Durham, NC 27707",35.988972,-78.927361,https://elcentronc.org/,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aria Cultural Center ,Aria Cultural Center,"2609 N Duke St Suite 720, Durham, NC 27704",36.03050583,-78.90787129,http://www.icsnc.org/,"All, Holt Elementary, Brogden Middle, Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Lou Williams Center for Black Culture,Mary Lou Williams Center for Black Culture,"101 Flowers Building, 404 Chapel Drive, Box 90880, Durham, NC 27708",36.00137634,-78.93995401,https://studentaffairs.duke.edu/mlw,"All, Glenn Elementary, Brogden Middle, Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
