STORE_NAME,ADDRESS,LATITUDE,LONGITUDE,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triangle Mini Mart,4003 Fayetteville St,35.94921,-78.90328,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehead Mini Mart,1601 Morehead Ave,35.99189,-78.92153,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Lion #939,4621 Hillsborough Rd,36.03208,-78.97963,"All,Brogden Middle,Hillandale Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham Food World,401 E Lakewood Ave # A,35.98777,-78.89996,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Lion #747,3500 N Roxboro St,36.03762,-78.89255,"All,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart Supercenter #1614,1525 Glenn School Rd,36.02831,-78.84346,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi Barrio Grocery,2405 Guess Rd,36.02622,-78.92259,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fay Street Grocery & Grill,1302 Fay St,35.99883,-78.88044,"All,Eastway Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Mart,2014 Guess Rd,36.02301,-78.91784,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkview Mini Mart,433 E Pilot St,35.96409,-78.90759,"All,Fayetteville Street Elementary,Hillside High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leone International Foods,810 Fayetteville St # 108,35.98531,-78.89904,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprouts Farmers Market,105 W NC 54 Hwy,35.91002,-78.93843,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Mini Mart,2929 Angier Ave,35.97299,-78.86642,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Market,4215 University Dr # A3,35.96277,-78.95871,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy Speed Mart,1624 Glenn School Rd,36.03125,-78.84041,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around The World Market,1708 E NC Highway 54,35.90196,-78.90243,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Taiba Market,1008 W Chapel Hill St,35.99713,-78.91571,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Lion #2646,"2121 TW Alexander Dr # 107, Morrisville, NC 27560",35.92025,-78.81038,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Red & White Supermarket,305 E Club Blvd,36.01987,-78.88955,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hop Food Mart,2021 Guess Rd,36.02288,-78.91846,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Foods Market,621 Broad St,36.00699,-78.92063,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortilleria Miguelena,4739 NC Highway 55,35.9009,-78.89584,"All,Hillside High,Lakewood Middle,Lowes Grove Middle,Parkwood Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldi,7906 NC Highway 751,35.90004,-78.96084,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Teeter #120,"116 W Barbee Chapel Rd, Chapel Hill, NC 27517",35.90637,-79.01042,"All, Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target,4037 Durham Chapel Hill Blvd,35.96627,-78.95901,"All,Forest View Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Teeter #172,1817 Martin Luther King Pkwy,35.9598,-78.95936,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halgo European Deli & Grocery,4520 S Alston Ave,35.90189,-78.88921,"All,Hillside High,Lakewood Middle,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Teeter #497,1802 North Pointe Dr,36.02924,-78.92135,"All,Brogden Middle,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geer St. Mini Mart,201 E Geer St,36.00352,-78.8928,"All,Eastway Elementary,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compare Foods,2000 Avondale Dr,36.01511,-78.88813,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris Teeter #304,"10440 Glenwood Ave, Raleigh, NC 27617",35.96781,-78.84068,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compare Foods,1233 University Dr,35.98516,-78.90957,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart Supercenter #2137,5450 New Hope Commons Dr,35.95481,-78.99897,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart Supercenter,1525 Glenn School Rd,36.02851,-78.84378,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlie C's IGA,3729 Wake Forest Rd,35.98233,-78.82175,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U C Stop,710 S Alston Ave,35.97987,-78.89197,"All,Jordan High,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Central Market,2022 Guess Rd #C,36.02329,-78.91812,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circus Food Store,3801 Wake Forest Rd,35.98175,-78.82055,"All,Lakewood Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
