CLINIC_NAME,name,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
Caring House,Caring House,"2625 Pickett Rd Durham, NC 27705",35.97547,-78.94611,https://caringhouse.org,"All,Forest View Elementary,Jordan High,Lakewood Middle"
Central Regional Hospital,Central Regional Hospital,"300 Veazey Rd, Butner, NC 27509",36.14667,-78.77097,https://www.ncdhhs.gov/divisions/state-operated-healthcare-facilities/facilities/central-regional-hospital,NA
Duke Center for Living,Duke Center for Living,"3475 Erwin Rd, Durham, NC 27705",36.00086,-78.95594,https://www.dukehealth.org/locations/duke-center-living-campus,"All,Brogden Middle,Forest View Elementary,Lakewood Middle,Riverside High"
Duke Clinic,Duke Clinic,"40 Duke Medicine Cir, Durham, NC 27710",36.00405,-78.93514,https://www.dukehealth.org/locations/duke-clinic,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
Duke Lifestyle and Weight Management Center,Duke Lifestyle and Weight Management Center,"501 Douglas St, Durham, NC 27705-3888",36.0112,-78.94157,https://www.dukehealth.org/locations/duke-lifestyle-and-weight-management-center,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
Duke Primary Care Croasdaile,Duke Primary Care Croasdaile,"1821 Hillandale RdDurham, NC 27705",36.03191,-78.93675,https://www.dukehealth.org/locations/duke-primary-care-croasdaile,"All,Brogden Middle,Hillandale Elementary,Lakewood Middle,Riverside High"
Duke Regional Hospital,Duke Regional Hospital,3643 N Roxboro St,36.03715,-78.8997,https://www.dukehealth.org/hospitals/duke-regional-hospital,"All,Lakewood Middle,Riverside High"
Duke University Hospital,Duke University Hospital,"2301 Erwin Rd, Durham, NC 27710",36.00706,-78.93745,https://www.dukehealth.org/hospitals/duke-university-hospital,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
Durham County Health Dept,Durham County Health Dept,"414 E Main St, Durham, NC 27701",35.99198,-78.89638,https://www.dcopublichealth.org,"All,Brogden Middle,Lakewood Middle,Riverside High"
Lenox Baker Children's Hospital,Lenox Baker Children's Hospital,"3000 Erwin Rd3000 Erwin Rd, Durham, NC 27705",36.00506,-78.94998,https://www.dukehealth.org/locations/lenox-baker-childrens-hospital,"All,Brogden Middle,Forest View Elementary,Lakewood Middle,Riverside High"
Lincoln Community Health Center,Lincoln Community Health Center,"1301 Fayetteville St, Durham, NC 27707",35.98066,-78.89828,https://lincolnchc.org,"All,Jordan High,Lakewood Middle"
North Carolina Speciality Hospital,North Carolina Speciality Hospital,3916 Ben Franklin Blvd.,36.04289,-78.89694,https://www.ncspecialty.com,"All,Lakewood Middle,Riverside High"
Premiere Health and Wellness Medical Center,Premiere Health and Wellness Medical Center,"2609 N Duke St #403, Durham, NC 27704",36.03207,-78.90727,http://premierehealth.org,"All,Brogden Middle,Lakewood Middle,Riverside High"
Shiloh Crossing Urgent Care (Concentra),Shiloh Crossing Urgent Care (Concentra),"4104 Surles Court Ste. 11 Durham, NC 27703",35.86788,-78.84941,https://www.concentra.com/urgent-care-centers/north-carolina/raleigh/shiloh-crossing-urgent-care/#nearbylocations_g=35.868324|-78.8499999&nearbylocations_o=DistanceMi%2CAscending,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
Structure House,Structure House,3017 Pickett Rd,35.97419,-78.96302,https://www.structurehouse.com,"All,Forest View Elementary,Jordan High,Lakewood Middle"
UNC Medical Center,UNC Medical Center,"101 Manning Drive, Chapel Hill, NC 27514",35.90511,-79.05168,https://www.uncmedicalcenter.org/uncmc/,NA
Veterans Administration Hospital,Veterans Administration Hospital,508 Fulton St,36.00952,-78.93971,https://www.va.gov/durham-health-care/locations/durham-va-medical-center/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
WakeMed Brier Creek Healthplex,WakeMed Brier Creek Healthplex,"8001 TW Alexander Dr, Raleigh, NC 27617",35.91872,-78.78533,https://www.wakemed.org/location/brier-creek-healthplex,NA
Wound Healing & Hyperbaric Center at North Carolina Specialty Hospital,Wound Healing & Hyperbaric Center at North Carolina Specialty Hospital,4315 Ben Franklin Blvd Suite 101,36.048,-78.89362,https://weence.com/medical/doctors/durham/ncsh-wound-healing-hyperbaric-center-ncsh-covid-vaccination-clinic-2/,"All,Lakewood Middle,Riverside High"
