,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,NAME,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
0,0,0,0,Durham School of Martial Arts,"1230 Avondale Dr, Durham, NC 27701",36.0039518,-78.8833491,http://kkeith-mma.com/index.html,"All,Eastway Elementary,Lakewood Middle"
1,1,1,1,Shaw’s Karate,"1921 N Pointe Dr #140, Durham, NC 27705",36.0302964,-78.9242612,http://shawskarate.com/,"All,Brogden Middle,Lakewood Middle,Riverside High"
2,2,2,2,Master Chang’s Martial Arts,"8200 Renaissance Pkwy #1017, Durham, NC 27713",35.9040116,-78.9542565,https://masterchangtkd.com/ ,"All,Jordan High,Lakewood Middle"
3,3,3,3,Carolina Martial Arts Center,"4631 Hillsborough Rd, Durham, NC 27705",36.03295135,-78.97920227,http://carolinamartialartscenter.com/wp/,"All,Brogden Middle,Hillandale Elementary,Lakewood Middle,Riverside High"
4,4,4,4,Modu Martial Arts School,"105 NC-54 #269, Durham, NC 27713",35.918869,-78.961359,https://www.modumartialarts.com/,"All,Jordan High,Lakewood Middle"
5,5,5,5,"Carolina Karate Academy, LLC","5324 New Hope Commons Dr, Durham, NC 27707",35.9550036,-78.9940952,https://durhamkarate.com/,"All,Jordan High,Lakewood Middle"
6,6,6,6,Triangle Jiu Jitsu Academy,"124 Latta Rd, Durham, NC 27712",36.0775547,-78.9113838,https://www.trianglejiujitsu.com/ ,"All,Lakewood Middle"
7,7,7,7,JMA Taekwondo,"121 Sherron Rd, Durham, NC 27703",35.9743551,-78.7930927,https://www.jmatkd.com/ ,"All,Lakewood Middle"
8,8,8,8,Scorpion’s School of Martial Arts,"Shopping Center, 3747 Wake Forest Highway Mineral Springs, Durham, NC 27703",35.951412,-78.836603,,"All,Lakewood Middle"
9,9,9,9,Chapel Hill Shotokan Karate Dojo,"3716 Erwin Rd, Durham, NC 27705",36.0006372,-78.9667055,https://chapelhill.ska.org/ ,"All,Forest View Elementary,Jordan High,Lakewood Middle"
10,10,10,10,Triangle Aikido,"4603 Hillsborough Rd, Durham, NC 27705",36.0329965,-78.9777209,http://www.triangleaikido.com/,"All,Brogden Middle,Hillandale Elementary,Lakewood Middle,Riverside High"
