PARK_NAME,name,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Park (south),Grant Park (south),"1200 Grant St, Durham, NC 27701",35.97743,-78.89584,https://www.dprplaymore.org/Facilities/Facility/Details/Grant-Park-south-31,"All,W.G. Pearson Elementary,Githens Middle,Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillside Park,Hillside Park,"1301 S Roxboro Street, Durham, NC 22707",35.98094,-78.90287,https://www.dprplaymore.org/Facilities/Facility/Details/Hillside-Park-32,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holly Grove Area,Holly Grove Area,"163 Archery Range Road, Bahama, NC 27503",36.16586,-78.8589,https://www.dprplaymore.org/Facilities/Facility/Details/Holly-Grove-Area-35,"All,Mangum Elementary,Lucas Middle,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holt School Road Park,Holt School Road Park,"4102 Holt School Road, Durham, NC 27704",36.05576,-78.90485,https://www.dprplaymore.org/Facilities/Facility/Details/Holt-School-Road-Park-36,"All,Holt Elementary,Carrington Middle,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoover Road Athletic Park,Hoover Road Athletic Park,"632 North Hoover Road, Durham, NC 27703",36.00261,-78.85908,https://www.dprplaymore.org/Facilities/Facility/Details/merrick-moorepark-106,"All,Merrick-Moore Elementary,Neal Middle,Southern School of Energy and Sustainability High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Trail Park,Indian Trail Park,"2309 Indian Trail, Durham, NC 27705",36.02467,-78.92856,https://www.dprplaymore.org/Facilities/Facility/Details/Indian-Trail-Park-37,"All,Brogden Middle,E.K. Powe Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Michie,Lake Michie,"2802 Bahama Road, Bahama, NC 27503",36.1726,-78.85661,https://www.dprplaymore.org/Facilities/Facility/Details/Lake-Michie-Boathouse-38,"All,Mangum Elementary,Lucas Middle,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeview Park,Lakeview Park,"3500 Dearborn Drive, Durham, NC 27704",36.03867,-78.87773,https://www.dprplaymore.org/Facilities/Facility/Details/Lakeview-Park-39,"All,Eno Valley Elementary,Lucas Middle, Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leigh Farm Park,Leigh Farm Park,"370 Leigh Farm Road, Durham, NC 27704",35.922,-78.98343,https://www.dprplaymore.org/Facilities/Facility/Details/Leigh-Farm-Park-40,"All,Jordan High,Githens Middle,Creekside Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little River Lake,Little River Lake,"1500 Orange Factory Road, Durham, NC 27712",36.12686,-78.87153,https://www.dprplaymore.org/Facilities/Facility/Details/Little-River-Fishing-Facility-41,"All,Little River Elementary,Lucas Middle,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Meadow Park,Long Meadow Park,"917 Liberty Street, Durham, NC 27701",35.99343,-78.88467,https://www.dprplaymore.org/Facilities/Facility/Details/Long-Meadow-Park-42,"All,Brogden Middle,Eastway Elementary,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon Park,Lyon Park,"1200 W Lakewood Avenue, Durham, NC 27707",35.98647,-78.91952,https://www.dprplaymore.org/Facilities/Facility/Details/Lyon-Park-44,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maplewood Park,Maplewood Park,"1530 Chapel Hill Road, Durham, NC 27701",35.99381,-78.92189,https://www.dprplaymore.org/Facilities/Facility/Details/Maplewood-Park-45,"All,Brogden Middle,Jordan High,Lakewood Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morreene Road Park,Morreene Road Park,"1102 Morreene Road, Durham, NC 27705",36.00716,-78.95549,https://www.dprplaymore.org/Facilities/Facility/Details/Morreene-Road-Park-46,"All,Brogden Middle,Forest View Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northgate Park,Northgate Park,"300 W Club Boulevard, Durham, NC 27704",36.02117,-78.89602,https://www.dprplaymore.org/Facilities/Facility/Details/Northgate-Park-47,"All,Brogden Middle,Glenn Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakwood Park,Oakwood Park,"411 Holloway Street, Durham, NC 27701",35.99488,-78.8939,https://www.dprplaymore.org/Facilities/Facility/Details/Oakwood-Park-49,"All,Brogden Middle,Eastway Elementary,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Chapel Hill Road Park,Old Chapel Hill Road Park,"3751 SW Durham, Drive, Durham, NC 27707",35.94922,-78.98019,https://www.dprplaymore.org/Facilities/Facility/Details/Old-Chapel-Hill-Road-Park-50,"All,Creekside Elementary,Githens Middle,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
