NAME,ADDRESS,LATITUDE,LONGITUDE,PROPTYPE,URL,PARKACRES,OBJECTID,FACILITYID,CW_ID,PHONENUM,COMPULAB,GYMNASIUM,KITCHEN,MTGROOM,GlobalId,LEGACY_ID,ShapeSTArea,ShapeSTLength,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Family Life & Recreation Center,1309 Halley St,35.98996,-78.91928,Recreation Center,https://www.dprplaymore.org/Facilities/Facility/Details/Community-Family-Life-Recreation-Center--85,0.80876042,272,RC002,9,560-4288,1,0,1,0,{B9260A44-C126-46A6-9250-64F62853B699},9,35229.463,1255.2119,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon Park Teen Center,1101 Cornell St,35.98985,-78.9189,Recreation Center,NA,0.10353383,294,RC010,NA,354-2730,1,0,1,0,{A38CB33F-4814-4D2A-AD48-750A498EABB3},NA,4509.915,386.5602,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Durham,2615 Harvard Ave,35.98592,-78.86995,Recreation Center,https://www.dprplaymore.org/Facilities/Facility/Details/East-Durham-Recreation-Center-86,0.1038018,276,RC005,4,560-4278,1,0,1,0,{3C99959D-967D-4E84-8B81-0952F6F6F2D2},4,4521.589,326.1201,"All,Y. E. Smith Elementary,Neal Middle,Southern School of Energy and Sustainability High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edison Johnson,600 W Murray Ave,36.02965,-78.90068,Recreation Center,https://www.dprplaymore.org/Facilities/Facility/Details/Edison-Johnson-Recreation-Center-87,0.51965114,291,RC008,5,560-4270,1,0,1,0,{3973FFA4-1820-466F-9389-99572BCCF614},5,22635.913,1026.232,"All,Brogden Middle,Holt Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edison Johnson Aquatic Center,500 W Murray Ave,36.02949,-78.90155,Aquatics Center,https://www.dprplaymore.org/Facilities/Facility/Details/Edison-Johnson-Aquatics-Center-82,0.29827902,290,AC002,5,560-4265,0,0,0,0,{D0263F9B-9174-4849-A005-756E9D8A05B8},5,12992.982,509.0603,"All,Brogden Middle,Holt Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. R. Holmes at Campus Hills,2000 S Alston Ave,35.9631,-78.89031,Recreation Center,https://www.dprplaymore.org/Facilities/Facility/Details/Irwin-R-Holmes-Recreation-Center-89,0.58187755,292,RC009,2,560-4444,1,1,1,0,{746DB164-9571-47CE-A001-FDCD2CEC6022},2,25346.485,788.2536,"All,Hillside High,Bethesda Elementary,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holton Career & Resource Center,"401 N Driver Street, Durham, NC 27703",35.99079,-78.8792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All,Eastway Elementary,Neal Middle,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. D. Hill Recreation Center,1308 Fayetteville St,35.98145,-78.89982,Recreation Center,https://www.dprplaymore.org/Facilities/Facility/Details/WD-Hill-Recreation-Center-90,0.44370004,275,RC004,12,560-4292,1,0,1,0,{C60AFEDA-E12B-40EF-B214-EF016E711FAD},12,19327.497,673.5654,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. I. Patterson Recreation Center,2614 Crest St,36.01373,-78.93944,Recreation Center,https://www.dprplaymore.org/Facilities/Facility/Details/WI-Patterson-Recreation-Center-91,0.02176461,279,RC006,13,560-4560,1,0,1,0,{89BE4FAD-212A-47FC-B5DA-B4E2E8D8B82D},13,3431.87,240.2317,"All,Brogden Middle,E.K. Powe Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walltown Park Recreation Center,1308 W Club Blvd,36.01851,-78.91426,Recreation Center,https://www.dprplaymore.org/Facilities/Facility/Details/Walltown-Park-Recreation-Center-92,0.45468733,280,RC007,14,560-4296,1,1,1,1,{9733B776-AD57-4F17-96F9-51254E580732},14,19806.1,633.3092,"All,Brogden Middle,E.K. Powe Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
