CENTER_NAME,name,LATITUDE,LONGITUDE,URL,school_zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Assembly Christian Center,Faith Assembly Christian Center,35.96372,-78.90908,https://www.facc-ministries.org,"All,Fayetteville Street Elementary,Hillside High,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3120 Fayetteville St, Durham, NC 27707",Emmanuel Praise & Worship Center,35.96506,-78.90563,http://theepwc.org,"All,Fayetteville Street Elementary,Hillside High,GithensMiddle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Deen Mohammed Islamic Center,W. Deen Mohammed Islamic Center,35.9809,-78.89988,http://www.wdmislamiccenter.com,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Destiny Christian,New Destiny Christian,35.98058,-78.89585,https://www.newdestinychristiancenter.com,"All,Jordan High,Githens Middle,W.G. Pearson Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebuild Fellowship,Rebuild Fellowship,35.98225,-78.89692,https://www.rebuildchurch.com,"All,Eastway Elementary,Lucas Middle,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Memorial CME Church,Russell Memorial CME Church,35.98052,-78.89113,http://russellmemorialcme.com,"All,Hillside High,Bethesda Elementary,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Word of Life Worship Center,Word of Life Worship Center,35.98503,-78.89992,https://wlwc.org,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durham, Revival Worship Centre","Durham, Revival Worship Centre",35.98868,-78.89405,http://drwconline.org,"All,Brogden Middle,W.G. Pearson,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Bethlehem Temple Apostolic Faith Church,Greater Bethlehem Temple Apostolic Faith Church,35.98649,-78.8886,http://www.usachurches.org/church/bethlehem-temple-apostolic-faith-church.htm,"All,Y.E. Smith Elementary,Neal Middle,Southern School of Energy and Sustainability High School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ar-Razzaq Islamic Center,Ar-Razzaq Islamic Center,35.99824,-78.91557,https://arrazzaqislamiccenter.org,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecclesia House of Prayer,Ecclesia House of Prayer,35.99149,-78.88613,https://www.discoverdurham.com/directory/ecclesia-house-of-prayer/,"All,Brogden Middle,W.G. Pearson,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekklesia Community Development Center,Ekklesia Community Development Center,35.99628,-78.88935,https://www.guidestar.org/profile/30-0404366,"All,Brogden Middle,Eastway Elementary,Northern High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nehemiah Christian Center,Nehemiah Christian Center,35.99967,-78.89712,https://www.visitncc.com,"All,Brogden Middle,Glenn Elementary,Riverside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivers of Water Christian Center,Rivers of Water Christian Center,35.9951,-78.87569,https://rowcc.org,"All,Bethesda Elementary,Lowes Grove Middle, Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Memorial Baptist Church,Lincoln Memorial Baptist Church,35.98017,-78.90565,https://mylmbc.org,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Titus' Episcopal Church,St. Titus' Episcopal Church,35.97805,-78.90239,https://sttitusdurham.org,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Chapel and Garden,Centennial Chapel and Garden,35.9751,-78.90106,https://m.nccu.edu/students/device/text/map/detail?filter=&feed=nccu&id=329&parentId=,"All,Hillside High,Brogden Middle,C.C. Spaulding Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Vernon Baptist Church,Mount Vernon Baptist Church,35.98403,-78.90239,https://mvbcdurham.org,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gethsemane Baptist Church,Gethsemane Baptist Church,35.98566,-78.90303,https://www.discoverdurham.com/directory/gethsemane-baptist-church/,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt. Zion Holy Church,Mt. Zion Holy Church,35.97989,-78.89634,http://www.mountzionuhc.com,"All,Jordan High,Githens Middle, W.G. Pearson Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Chronicles Community Church,First Chronicles Community Church,35.98114,-78.89569,http://firstchroniclescommunitychurch.org,"All,Jordan High,Githens Middle, W.G. Pearson Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher Memorial United Holy Church of America,Fisher Memorial United Holy Church of America,35.98483,-78.89947,https://www.discoverdurham.com/directory/fisher-memorial-united-holy-church-of-america/,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Presbyterian Church,Covenant Presbyterian Church,35.96798,-78.91076,https://www.cpcdurham.org/about-the-pastor,"All,Brogden Middle,C.C. Spaulding Elementary,Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faucette Memorial CME,Faucette Memorial CME,35.96881,-78.91638,https://www.discoverdurham.com/directory/faucette-memorial-c-m-e-church/,"All,Brogden Middle,Jordan High,Lakewood Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Tabernacle Church of Durham,Faith Tabernacle Church of Durham,35.9643,-78.92007,https://www.discoverdurham.com/directory/faith-tabernacle-church-of-durham-inc/,"All,Jordan High,Githens Middle,Southwest Elementary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaat Ibad Ar Rahman,Jamaat Ibad Ar Rahman,35.96316,-78.90855,https://ibadarrahman.org,"All,Fayetteville Street Elementary,Hillside High,Lowes Grove Middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southside Church of Christ,Southside Church of Christ,35.96276,-78.90086,https://sside.org,"All,Fayetteville Street Elementary,Hillside High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
