School,Name,URL,DESCRIPTION,Subject
Duke,ArtsConnect,https://dukegroups.com/artsconnect/home/,"ArtsConnect strives to show students, using art as a gateway, that creativity is both a desirable and useful trait in today’s world. In an academic environment that often includes limited engagement with arts programs, the club hopes to provide a form of immersion and engagement in the arts for children at a young age.",Art
Duke,Audacity Labs,N/A,"Audacity Labs is a curriculum provider, startup incubator and co-working space for teens. The club empowers local 9th-12th grade students with the tools and resources to effectively develop a start-up. The program enables participants to zoom in on a specific customer need, develop a new product or service, and eventually launch a sustained enterprise. In doing so, students develop key skills associated with the start-up process, including problem-solving, creativity, computational thinking, and collaboration. To support them in this endeavor, members are empowered by workshops, mentors, virtual reality excursions, academic support, and counseling.",Entrepeneurship
Duke,Jumpstart,https://community.duke.edu/program/jumpstart/,"Duke Jumpstart members have the unique opportunity to inspire young children to learn, serve in a local community, collaborate with others on a team, and build professional skills. All members receive high quality training to help them implement Jumpstart’s outcome-based program, promote children’s school success, and build family engagement.",Academics
Duke,BOOST Beyond,https://dukegroups.com/boostbeyond/home/,"BOOST Beyond is an extension program of BOOST (Building Opportunities and Overtures in Science and Technology), a multidimensional pathway program to excite underrepresented minority (URM) students in the Durham Public School system about science. BOOST Beyond serves to expand post-secondary access through individualized mentoring. BOOST Beyond pairs Duke graduate and medical students with BOOST high school mentees to provide individualized guidance on navigating the post-secondary school process, with a specific emphasis on the college application process - making a school list, writing college essays, applying to scholarships, choosing schools, and preparing for the transition to college.",STEM
Duke ,School Days,https://community.duke.edu/program/school-days/,"School Days is an annual program designed to help motivate teenagers in Durham Public Schools to aim for college. The program targets middle school students who come from families with no prior college experience. The students spend a full school day at Duke in groups of 10, visiting labs, meeting faculty, and touring the campus (including the residence halls) while accompanied by Duke staff and students, and Durham school counselors.Your role is to share information about college life and motivate this next generation of students to aim for higher education. Student Guides are needed from 9:30-11:30 AM.",Academics
Duke,Bull City Scholars,https://dukegroups.com/bullcity/home/,"Bull City Scholars creates a sustainable mentorship and tutoring program focused on college access for Durham middle school students that are currently not served by Duke’s Partnerships for Service. In order to support an informed model of service, students may participate in an optional, introductory house course investigating education inequality and pedagogy.",Academics
Duke,CHANCE Tutoring,N/A,CHANCE offers free tutoring services to local Durham students in middle school and high school. The group does this through special pairing of pre-collegiate students having particular academic needs with Duke students who have experience in those academic areas. All student tutors seek to share a knowledge that the tutees will retain long after each session. This knowledge goes beyond simple problems and is targeted towards understanding underlying concepts as much as possible. CHANCE tutors form relationships with tutees. This relationship often fosters a growing passion to learn and eventually the middle school and high school students gain a higher awareness of their scholastic endeavors through our efforts.,Academics
Duke,Clever Endeavor,https://dukegroups.com/clever/home/,"Through this mentorship program, C.E. aims to form a lasting connection among Duke, UNC, and elementary schools across the Durham and Chapel Hill communities. C.E. hopes to help children realize that hopes to help children realize that they are valued and they are the best thing that the world has to offer. C.E. seeks to bolster a child’s natural talent of curiosity and inquisitiveness, as well as understanding the developmental milestones of 4th and 5th graders, to promote in children a sense of positive identity, self-determination, empowerment, belief in their future, and prosocial involvement.",Academics
Duke,Crazies Who Care,https://dukegroups.com/cwc/home/,"Crazies who Care (CWC) is a student led organization which partners with the Emily K Center. Students volunteer weekly with the students at the Emily K Center and serve as mentors, tutors, and most importantly friends. Members have previously served as peer advisers for high school students during high school application cycles, and have provided STEM and humanities tutoring over Zoom during the pandemic. In addition to volunteering, members also work together to organize a fundraiser to raise funds for the Emily K Center and their affiliate programs. As members of CWC, we aim to support the Emily K Center however we can and strive to meet the needs of the students, teachers, and leadership staff .",Academics
Duke,America Reads/America Counts,https://sites.duke.edu/arac/new-tutors/,"The America Reads/America Counts (ARAC) program is designed to enhance primary-level reading and math skills of children in Durham while providing Duke University students the opportunity to give back and learn from their community, gain work experience, and earn money.",Tutoring
